#Data tag : 24v1 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
282037:5352,09/30/16 22:24:14,1861,1861,0.348879789,0.334747246
282092:5355,10/02/16 13:49:37,1784,1784,0.309686033,0.299676595
282708:5391,10/09/16 08:39:30,8,8,0.002529322,0.002144558
282710:5391,10/09/16 08:49:08,9,9,0.002750876,0.000350704
282712:5391,10/09/16 09:00:13,60,60,0.017728020,0.016882292
282730:5393,10/09/16 12:41:53,83,79,0.024748320,0.020631795
282731:5393,10/09/16 13:13:59,176,175,0.052016359,0.048048286
282732:5393,10/09/16 14:23:16,73,72,0.020109356,0.018281462
282733:5393,10/09/16 14:52:26,178,178,0.045598421,0.043632314
282734:5393,10/09/16 16:03:11,330,329,0.074523498,0.071211184
282735:5393,10/09/16 18:12:39,1823,1823,0.280527990,0.272048477
282800:5394,10/10/16 14:17:15,382,381,0.099596522,0.094644857
282807:5394,10/10/16 16:48:03,330,328,0.076134671,0.071321820
282814:5394,10/10/16 18:58:58,1843,1843,0.287645141,0.278819558
282842:5395,10/11/16 10:34:00,80,80,0.024793098,0.023797366
282917:5401,10/12/16 01:27:07,85,82,0.022108953,0.018175426
282918:5401,10/12/16 02:00:22,59,56,0.015697498,0.013025009
282919:5401,10/12/16 02:23:36,243,243,0.060010505,0.057863735
282922:5401,10/12/16 05:09:33,137,137,0.028881577,0.025785002
282923:5401,10/12/16 06:04:20,226,226,0.044249828,0.040888008
283042:5405,10/12/16 22:38:59,10,10,0.002704425,0.001435533
283043:5405,10/12/16 22:44:16,519,519,0.123757476,0.117972506
283049:5406,10/13/16 05:05:17,17,17,0.005584502,0.003171817
283050:5406,10/13/16 05:13:23,227,221,0.067069855,0.058639575
283052:5406,10/13/16 06:45:19,124,120,0.034002511,0.029110576
283059:5406,10/13/16 08:00:56,458,451,0.105776147,0.099841264
283270:5416,10/14/16 18:39:48,1838,1837,0.399686187,0.385521210
283283:5416,10/15/16 06:35:59,1748,1748,0.204630501,0.199136156
283305:5418,10/15/16 21:41:13,15,11,0.003823584,0.001407942
283306:5418,10/15/16 21:46:57,291,291,0.081714901,0.077780643
283307:5418,10/15/16 23:43:44,461,461,0.107440707,0.101384034
283308:5418,10/16/16 02:46:26,946,946,0.168349843,0.161919434
283353:5421,10/16/16 19:55:17,753,750,0.202579180,0.193296966
283358:5421,10/17/16 00:50:19,985,981,0.183975677,0.173997642
283359:5421,10/17/16 07:15:19,428,428,0.062846963,0.061358758
283407:5423,10/17/16 21:54:07,43,39,0.014382531,0.009938879
