#Data tag : 24v1 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
316613:6706,05/20/18 07:52:22,193,193,0.032123857,0.031466211
316615:6706,05/20/18 09:12:45,338,338,0.050039803,0.049127397
316666:6709,05/20/18 21:51:33,981,981,0.290503705,0.279383150
316667:6709,05/21/18 04:15:41,197,197,0.043606535,0.042140303
316700:6710,05/21/18 11:45:22,311,311,0.121735715,0.114305225
316701:6710,05/21/18 14:12:33,479,479,0.150662430,0.143934331
316702:6710,05/21/18 17:21:19,388,388,0.098397595,0.095462417
316715:6711,05/22/18 01:10:33,13,13,0.003351276,0.003000557
316716:6711,05/22/18 01:30:21,181,181,0.069728281,0.061793307
316717:6711,05/22/18 02:44:00,192,192,0.066618783,0.063386389
316718:6711,05/22/18 04:00:35,311,311,0.093702615,0.090223177
316719:6711,05/22/18 06:17:36,136,136,0.035382010,0.032449669
316720:6711,05/22/18 07:16:06,182,182,0.043150901,0.041732333
316721:6711,05/22/18 08:29:42,15,15,0.003344681,0.003260094
316722:6711,05/22/18 08:45:58,751,751,0.139834298,0.134761087
316723:6711,05/22/18 13:38:48,64,64,0.009830609,0.009621165
316758:6712,05/22/18 16:43:00,1599,1599,0.472005571,0.455685588
316766:6714,05/23/18 05:50:20,2148,2148,0.578889068,0.561056135
316876:6719,05/24/18 23:17:15,610,610,0.236505531,0.216380822
316877:6719,05/25/18 03:18:15,395,395,0.115168525,0.111052148
316879:6719,05/25/18 06:01:35,156,156,0.038537696,0.036513385
316928:6724,05/25/18 17:30:22,149,149,0.045713748,0.044417541
316985:6731,05/27/18 20:04:08,471,471,0.178091381,0.172547627
316993:6733,05/28/18 03:32:50,211,211,0.079702046,0.074474368
316994:6733,05/28/18 04:58:46,14,14,0.005071516,0.004777139
316995:6733,05/28/18 05:06:29,623,623,0.191897012,0.186195824
317080:6737,05/28/18 20:40:32,26,26,0.008321827,0.007844298
317087:6738,05/28/18 23:14:11,741,741,0.252946559,0.243202203
317089:6738,05/29/18 04:46:51,1003,1003,0.221328495,0.212905926
317182:6741,05/30/18 09:15:46,1377,1377,0.421887205,0.406209998
317212:6744,05/31/18 02:42:17,140,140,0.054310501,0.051172811
317213:6744,05/31/18 03:40:05,375,375,0.130331447,0.125490000
317279:6747,05/31/18 17:11:10,466,466,0.068311783,0.065891594
317291:6749,06/01/18 02:53:28,791,791,0.283390131,0.274031055
317292:6749,06/01/18 08:08:05,330,330,0.087647375,0.085007136
317297:6749,06/01/18 11:34:35,697,697,0.127414942,0.123799398
317319:6751,06/01/18 19:42:33,139,139,0.056782080,0.053515061
317320:6751,06/01/18 20:37:54,1820,1820,0.477053084,0.460770108
317338:6752,06/02/18 10:48:26,42,42,0.015939572,0.013631195
317339:6752,06/02/18 11:06:14,163,163,0.068358146,0.065750367
317340:6752,06/02/18 12:17:48,418,418,0.147845254,0.140597438
317382:6755,06/03/18 16:34:21,71,71,0.027789228,0.024139662
317383:6755,06/03/18 17:05:19,58,58,0.023899689,0.022451451
317391:6757,06/04/18 03:21:59,8,8,0.003496548,0.002717314
317392:6757,06/04/18 03:27:44,1898,1898,0.505359348,0.490659735
317435:6759,06/05/18 00:15:36,1397,1397,0.374447589,0.360615503
317438:6759,06/05/18 09:20:20,307,307,0.051747091,0.049709793
317475:6761,06/05/18 18:13:47,68,68,0.027077772,0.025761374
317478:6761,06/05/18 18:47:21,23,23,0.008476482,0.007937305
317484:6761,06/05/18 19:51:18,523,523,0.165746311,0.160357101
317488:6761,06/05/18 23:26:30,844,844,0.186916937,0.181128944
317527:6763,06/06/18 22:52:12,1447,1447,0.466680818,0.452102222
317591:6768,06/08/18 07:07:54,292,292,0.115252826,0.111117504
317626:6770,06/08/18 20:45:30,2006,2006,0.546499020,0.528942858
317640:6772,06/09/18 13:47:48,801,801,0.271613192,0.261181150
317641:6772,06/09/18 19:02:09,1390,1390,0.276437381,0.268316147
317648:6773,06/10/18 06:27:56,95,95,0.037466208,0.033882198
317649:6773,06/10/18 07:08:12,621,621,0.200451581,0.193212900
317650:6773,06/10/18 11:10:27,1304,1304,0.264312623,0.255997534
317661:6774,06/10/18 21:56:59,1222,1222,0.387537582,0.375653569
317663:6774,06/11/18 06:27:15,858,858,0.157243448,0.153301915
317683:6776,06/11/18 16:18:33,320,320,0.122369112,0.117852704
317696:6778,06/12/18 00:00:42,645,645,0.237878017,0.228788626
318733:6850,06/26/18 22:28:18,33,33,0.002986112,0.002792261
318828:6858,06/28/18 06:30:24,70,70,0.013680177,0.013229261
318872:6860,06/28/18 15:50:31,272,272,0.095226870,0.091855388
318874:6860,06/28/18 17:39:38,320,320,0.104221535,0.099566084
318876:6860,06/28/18 19:45:23,161,161,0.049033967,0.046587403
318877:6860,06/28/18 20:49:22,615,615,0.165062573,0.160549990
319077:6874,07/01/18 23:27:46,41,41,0.016847324,0.016372094
319337:6901,07/08/18 02:05:51,2193,2193,0.237348102,0.232388818
319347:6904,07/08/18 19:53:18,651,651,0.229078382,0.210857753
319348:6904,07/09/18 00:07:18,37,37,0.010960722,0.005006509
319349:6904,07/09/18 00:23:34,148,148,0.041965497,0.040844091
319449:6909,07/09/18 20:59:32,698,698,0.259588552,0.249175703
319450:6909,07/10/18 01:32:44,681,681,0.212506203,0.207046976
319456:6909,07/10/18 07:08:40,209,209,0.054019189,0.052015906
319459:6909,07/10/18 08:32:35,78,78,0.017641531,0.017212189
319486:6911,07/11/18 09:10:21,66,66,0.021061443,0.020314851
319503:6911,07/11/18 17:30:46,317,317,0.094813288,0.090959389
319524:6912,07/11/18 22:27:29,1424,1424,0.470775187,0.456704828
319526:6912,07/12/18 08:14:19,282,282,0.071760079,0.069659956
319528:6912,07/12/18 10:11:01,259,259,0.061020865,0.059623297
319579:6919,07/13/18 04:43:17,3128,3128,0.842700420,0.818490479
319625:6921,07/14/18 14:05:51,190,190,0.072958790,0.070596630
319639:6923,07/14/18 18:52:13,1479,1479,0.423550804,0.409342861
319656:6924,07/15/18 07:24:28,260,260,0.092847318,0.088040239
319657:6924,07/15/18 09:09:07,167,167,0.053753183,0.051824439
319658:6924,07/15/18 10:16:04,225,225,0.064835054,0.062630150
319659:6924,07/15/18 11:50:26,87,87,0.022608470,0.021787782
319678:6925,07/15/18 15:20:13,259,259,0.099053157,0.095425603
319687:6927,07/15/18 22:28:04,45,45,0.016486960,0.016053053
319697:6929,07/16/18 02:17:40,437,437,0.062852753,0.060561287
319698:6929,07/16/18 05:13:10,312,312,0.037203705,0.036295265
319756:6931,07/16/18 15:39:04,1923,1923,0.507087482,0.490207560
319840:6939,07/17/18 22:27:53,348,348,0.051262088,0.049718970
319841:6939,07/18/18 00:44:33,167,167,0.020840269,0.020280330
319847:6940,07/18/18 04:02:30,3,3,0.001330140,0.000903546
319848:6940,07/18/18 04:04:45,53,53,0.019928725,0.019081685
319849:6940,07/18/18 04:28:02,492,492,0.180218651,0.173553507
319851:6940,07/18/18 07:46:30,4,4,0.001250214,0.001137046
319853:6940,07/18/18 08:01:32,256,256,0.073308035,0.071203933
319854:6940,07/18/18 09:44:34,225,225,0.055235431,0.053716621
319908:6942,07/19/18 02:40:13,51,51,0.019578850,0.018295996
319909:6942,07/19/18 03:03:13,7,7,0.002745424,0.001120252
319910:6942,07/19/18 03:09:20,983,983,0.315476062,0.304867395
319912:6942,07/19/18 09:34:18,59,59,0.014171249,0.013437294
319913:6942,07/19/18 09:59:24,56,56,0.013018670,0.012566299
319914:6942,07/19/18 10:22:49,32,32,0.007252554,0.006879894
319915:6942,07/19/18 10:37:23,416,416,0.088940472,0.086802730
319941:6944,07/19/18 19:59:35,256,256,0.099021174,0.094418021
319942:6944,07/19/18 21:41:30,50,50,0.017942967,0.017469047
319950:6946,07/20/18 02:45:30,168,168,0.067840573,0.065936582
319991:6953,07/20/18 15:48:51,837,837,0.292532002,0.282113669
319992:6953,07/20/18 21:15:39,264,264,0.068314667,0.065586878
319993:6953,07/20/18 23:01:06,955,955,0.187747701,0.182676621
320002:6956,07/21/18 08:17:32,141,141,0.052523648,0.050203881
320006:6956,07/21/18 09:46:32,340,340,0.117880259,0.114140954
320010:6956,07/21/18 14:27:42,330,330,0.076664447,0.074677045
320011:6956,07/21/18 16:38:02,302,302,0.063113485,0.061138295
320012:6956,07/21/18 18:38:20,99,99,0.018712035,0.018060759
320023:6957,07/21/18 21:33:03,276,276,0.103950839,0.098835382
320024:6957,07/21/18 23:21:36,410,410,0.130441651,0.126441802
320025:6957,07/22/18 02:03:20,113,113,0.031215963,0.030113403
320026:6957,07/22/18 02:49:54,204,204,0.051564870,0.050085960
320038:6960,07/22/18 07:09:04,621,621,0.227410433,0.218714081
320039:6960,07/22/18 11:13:45,30,30,0.009142321,0.008200324
320040:6960,07/22/18 11:29:06,737,737,0.183360034,0.177429449
