#Data tag : 24v1 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
297050:5839,06/16/17 20:55:44,710,710,0.097230965,0.094724927
297056:5840,06/17/17 05:00:46,192,192,0.032591964,0.029288606
297057:5840,06/17/17 06:18:36,873,873,0.117049341,0.114452759
297099:5842,06/17/17 19:23:59,39,39,0.007762297,0.007194742
297100:5842,06/17/17 19:41:21,371,369,0.076690396,0.072334502
297101:5842,06/17/17 22:12:25,1085,1085,0.165994010,0.161966021
297113:5845,06/18/17 12:43:12,246,239,0.057880081,0.052137598
297114:5845,06/18/17 14:21:04,155,155,0.033937491,0.032863186
297175:5848,06/19/17 19:04:40,85,76,0.019072699,0.015880451
297176:5848,06/19/17 19:42:18,200,196,0.042484578,0.039921738
297177:5848,06/19/17 21:04:30,162,158,0.032266096,0.030311823
297178:5848,06/19/17 22:09:07,1347,1340,0.199083047,0.194468064
297179:5848,06/20/17 07:09:38,92,88,0.010187426,0.009401683
297215:5849,06/20/17 13:53:03,47,47,0.013026156,0.012287170
297218:5849,06/20/17 14:14:26,27,24,0.007266783,0.003701263
297219:5849,06/20/17 14:26:07,2608,2607,0.434636721,0.421745795
297224:5849,06/21/17 07:56:03,125,125,0.011823265,0.011615493
297225:5849,06/21/17 08:49:06,32,25,0.002943523,0.002194206
297227:5849,06/21/17 09:04:44,184,184,0.015814928,0.015669416
297292:5856,06/22/17 02:42:29,738,735,0.182227163,0.171490118
297293:5856,06/22/17 07:41:33,145,139,0.029838262,0.027186604
297296:5856,06/22/17 08:47:07,484,479,0.088504209,0.084206760
297308:5856,06/22/17 12:06:46,44,44,0.006548256,0.006297792
297359:5862,06/23/17 03:26:00,49,49,0.014430823,0.013794587
297411:5864,06/23/17 13:35:24,911,911,0.210605396,0.201578374
297424:5865,06/24/17 00:42:30,118,117,0.034421303,0.031269800
297425:5865,06/24/17 01:29:38,153,149,0.043727242,0.041145061
297426:5865,06/24/17 02:30:35,101,100,0.027149793,0.024960653
297429:5865,06/24/17 03:24:57,72,72,0.018312501,0.017366166
